created_at,field1,field2,field3,field4,field5
2026-04-24T14:27:11+05:30,0,1909,807,0,0.0
2026-04-24T14:27:28+05:30,0,1993,806,0,0.0
2026-04-24T14:27:44+05:30,0,2010,807,0,0.0
2026-04-24T14:28:04+05:30,0,2027,806,0,0.0
2026-04-24T14:28:24+05:30,0,1825,806,0,0.0
2026-04-24T14:28:40+05:30,0,2000,806,0,0.0
2026-04-24T14:28:57+05:30,0,1990,806,0,0.0
2026-04-24T14:29:14+05:30,0,1910,806,0,0.0
2026-04-24T14:29:31+05:30,0,1979,806,0,0.0
2026-04-24T14:29:47+05:30,0,2061,806,0,0.0
2026-04-24T14:30:07+05:30,1,1723,806,1,0.0
2026-04-24T14:30:24+05:30,1,3206,806,1,0.0
2026-04-24T14:30:41+05:30,1,639,806,1,0.0
2026-04-24T14:30:58+05:30,0,3255,16,1,0.0
2026-04-24T14:31:17+05:30,0,3257,16,1,27.14
2026-04-24T14:31:33+05:30,0,3071,16,1,40.7
2026-04-24T14:31:52+05:30,0,3029,16,1,51.43
2026-04-24T14:32:08+05:30,0,544,15,1,57.85
2026-04-24T14:32:26+05:30,0,529,16,1,63.31
2026-04-24T14:32:42+05:30,0,538,9,1,67.1
2026-04-24T14:33:01+05:30,0,544,16,1,70.69
2026-04-24T14:33:17+05:30,0,544,16,1,73.16
2026-04-24T14:33:37+05:30,0,544,16,1,75.71
2026-04-24T14:33:53+05:30,0,558,16,1,77.43
2026-04-24T14:34:11+05:30,0,568,16,1,79.1
2026-04-24T14:34:27+05:30,0,560,17,1,80.38
2026-04-24T14:34:46+05:30,0,624,16,1,81.72
2026-04-24T14:35:02+05:30,0,640,16,1,82.71
2026-04-24T14:35:20+05:30,0,624,17,1,83.71
2026-04-24T14:35:38+05:30,0,606,16,1,84.59
2026-04-24T14:35:54+05:30,0,632,18,1,85.3
2026-04-24T14:36:13+05:30,0,631,16,1,86.07
2026-04-24T14:36:29+05:30,0,615,16,1,86.65
2026-04-24T14:36:50+05:30,0,626,16,1,87.34
2026-04-24T14:37:07+05:30,0,624,16,1,87.86
2026-04-24T14:37:23+05:30,0,617,16,1,88.3
2026-04-24T14:37:40+05:30,0,625,16,1,88.74
2026-04-24T14:38:15+05:30,0,656,16,1,89.55
2026-04-24T14:38:32+05:30,0,573,16,1,89.9
2026-04-24T14:38:48+05:30,0,571,15,1,90.21
2026-04-24T14:39:22+05:30,1,576,16,1,90.81
2026-04-24T14:39:39+05:30,1,576,5,1,88.11
2026-04-24T14:39:55+05:30,0,627,807,0,85.71
2026-04-24T14:40:12+05:30,1,704,3,1,85.71
